District,Code,State,Trump2016,Clinton2016,Obama2012,Romney2012,Obama2008,McCain2008,raw16PVI,raw12PVI,raw08PVI,raw16PVIuse,raw12PVIuse,raw08PVIuse,Trump2016vote,Clinton2016vote
California 36th,CA-36,California,43.4136580022749,52.1527572987319,50.6783632871386,47.5046844401448,51.8403984698138,48.1596015301862,3.5,-.3,-1.8,-3.5,.3,1.8,103051,123795
California 37th,CA-37,California,9.63590141018491,85.6906429487133,84.904413842617,12.719489188797,86.3746169241353,13.6253830758647,38.8,35,32.7,-38.8,-35,-32.7,26608,236621
California 38th,CA-38,California,27.4079057625371,66.9653216449658,64.8791734638391,32.9657422512235,63.7925888021833,36.2074111978167,19.8,14.3,10.1,-19.8,-14.3,-10.1,68033,166224
California 39th,CA-39,California,42.8603411005208,51.4660275772468,47.0944484498918,50.7501992183053,48.8128095651162,51.1871904348838,3.4,-3.8,-4.9,-3.4,3.8,4.9,116782,140230
California 40th,CA-40,California,12.7961193341185,82.2468035503964,81.481559773954,16.5208077904142,79.5225585379783,20.4774414620217,35.4,31.2,25.8,-35.4,-31.2,-25.8,21077,135472
California 41st,CA-41,California,33.1105860524447,60.9762225733351,61.500628272816,36.3017650960745,60.7348670218848,39.2651329781152,13.7,10.9,7,-13.7,-10.9,-7,68526,126197
California 42nd,CA-42,California,53.3627774361268,41.4092171223048,41.3779459831412,56.5276105281266,44.9998118638647,55.0001881361353,-7.4,-9.7,-8.7,7.4,9.7,8.7,143175,111103
California 43rd,CA-43,California,16.6790566521405,78.3705032897548,78.0050310729506,20.0185402688339,77.1047808051157,22.8952191948843,31.3,27.6,23.4,-31.3,-27.6,-23.4,39039,183434
California 44th,CA-44,California,12.2652955986289,83.0380885936441,84.6791149651934,13.6148725937708,83.3510301960176,16.6489698039824,36,34.2,29.7,-36,-34.2,-29.7,24261,164251
California 45th,CA-45,California,44.3949847683968,49.8360263462252,43.0234099011309,54.7800736266116,47.6629204045834,52.3370795954166,1.8,-8,-6,-1.8,8,6,144713,162449
California 46th,CA-46,California,27.8854771784232,66.2583679114799,61.4040503431023,36.1765481404308,60.0669181564704,39.9330818435296,19.3,11,6.4,-19.3,-11,-6.4,50403,119762
California 47th,CA-47,California,31.0320532672654,62.6134252090431,60.0332215092988,37.4596944923949,59.4934176140076,40.5065823859924,15.7,9.6,5.8,-15.7,-9.6,-5.8,80162,161743
California 48th,CA-48,California,46.1966797761307,47.9109943024253,43.0063716493913,54.685359423062,47.5186522262335,52.4813477737666,-.2,-7.9,-6.2,.2,7.9,6.2,146595,152035
California 49th,CA-49,California,43.1755575441625,50.660964106353,45.6575926756048,52.2488012279772,50.6722439037892,49.3277560962108,2.9,-5.3,-3,-2.9,5.3,3,135576,159081
California 50th,CA-50,California,54.5694794419519,39.5604995936875,37.5606043419238,60.4137012466656,40.3663523355704,59.6336476644296,-9.1,-13.6,-13.3,9.1,13.6,13.3,159822,115864
California 51st,CA-51,California,22.7928756747811,71.8483038595774,69.3587866861846,28.8617983729692,67.2136030931595,32.7863969068405,24.8,18.7,13.5,-24.8,-18.7,-13.5,46825,147603
California 52nd,CA-52,California,35.5517557659951,58.1079275218825,52.07689961493,45.6638326534243,56.1301396104394,43.8698603895606,10.9,1.3,2.4,-10.9,-1.3,-2.4,117057,191325
California 53rd,CA-53,California,29.584403282502,64.5149545869003,61.4124987250864,36.4055526442587,62.4576902423392,37.5423097576608,17.4,10.8,8.8,-17.4,-10.8,-8.8,91822,200237
Colorado 1st,CO-01,Colorado,23.2284706917158,69.0224939932367,68.9808513061351,28.8325858600101,71.9655073470559,28.0344926529441,23.7,18.6,18.3,-23.7,-18.6,-18.3,93486,277790
